[2025-01-04 00:30:20] INFO: Sala nomeada '' foi eliminada pelo administrador ''.
[2025-01-04 00:35:55] INFO: Sala nomeada '' foi eliminada pelo administrador ''.
[2025-01-04 00:37:55] INFO: Sala com ID 79 foi eliminada pelo administrador .
[2025-01-04 00:40:45] INFO: Sala com ID 78 foi eliminada pelo administrador ''.
[2025-01-04 00:42:27] INFO: Sala com ID 76 foi eliminada pelo administrador ''.
[2025-01-04 00:43:16] INFO: Sala com ID 75 foi eliminada pelo administrador ''.
[2025-01-04 00:44:56] INFO: Sala com ID 74 foi eliminada pelo administrador ''.
[2025-01-04 00:45:20] INFO: Sala com ID 73 foi eliminada pelo administrador ''.
[2025-01-04 00:47:12] INFO: Sala com ID 72 foi eliminada pelo administrador ''.
[2025-01-04 00:50:53] INFO: Sala com ID 71 foi eliminada pelo administrador '1'.
[2025-01-04 00:55:11] INFO: Sala com ID 70 foi eliminada pelo administrador 'roberto'.
[2025-01-04 03:17:35] INFO: Sala com ID 69 foi eliminada pelo administrador 'roberto'.
[2025-01-04 03:17:42] INFO: Sala com ID 68 foi eliminada pelo administrador 'roberto'.
[2025-01-04 03:18:56] INFO: Sala com ID 67 foi eliminada pelo administrador 'roberto'.
[2025-01-04 03:21:35] INFO: Sala com ID 66 foi eliminada pelo administrador 'roberto'.
